No	Name	#Assignments	#Comparisons	Milliseconds
SelectionSort	149997	1249975000	13674
InsertionSort	624922824	624822826	10625
MergeSort	784464	718340	0
QuickSort	1639124	957648	0
SelectionSort	149997	1249975000	14506
InsertionSort	625362872	625262874	7719
MergeSort	784464	717952	0
QuickSort	1641046	981568	0
SelectionSort	149997	1249975000	14910
InsertionSort	625216605	625116607	7855
MergeSort	784464	718237	0
QuickSort	1697081	983898	0
SelectionSort	149997	1249975000	22299
InsertionSort	622715062	622615064	10009
MergeSort	784464	718170	0
QuickSort	1533795	967018	0
SelectionSort	149997	1249975000	21669
InsertionSort	629806385	629706387	11814
MergeSort	784464	718411	0
QuickSort	1608049	913864	0
SelectionSort	149997	1249975000	20085
InsertionSort	623476463	623376465	12030
MergeSort	784464	718205	0
QuickSort	1591355	943995	0
SelectionSort	149997	1249975000	18290
InsertionSort	624685815	624585817	10986
MergeSort	784464	718463	0
QuickSort	1581433	938017	0
SelectionSort	149997	1249975000	16313
InsertionSort	627265911	627165913	13454
MergeSort	784464	718271	0
QuickSort	1535298	1033576	0
SelectionSort	149997	1249975000	23434
InsertionSort	625793542	625693544	11447
MergeSort	784464	717993	0
QuickSort	1598884	915394	0
SelectionSort	149997	1249975000	20506
InsertionSort	623715099	623615101	11068
MergeSort	784464	717990	0
QuickSort	1549783	939538	0
